date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:49:53	57431/57431	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c88ad1d-e057%22	http://lifeinsys.com/item/malena/resources/fonts/opensans/opensans-regular-webfont.svg	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/fonts/opensans/opensans-regular-webfont.svg	(from http://lifeinsys.com/item/malena/resources/fonts/opensans/stylesheet.css)
16:49:58	42600/42600	---M--	200	added ('OK')	application/octet-stream	etag:%225c88ad1c-a668%22	http://lifeinsys.com/item/malena/resources/fonts/opensans/opensans-regular-webfont.ttf	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/fonts/opensans/opensans-regular-webfont.ttf	(from http://lifeinsys.com/item/malena/resources/fonts/opensans/stylesheet.css)
16:50:06	120724/120724	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225c88ad1f-1d794%22	http://lifeinsys.com/item/malena/resources/fonts/ionicons/ionicons.eot?v=2.0.0	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/fonts/ionicons/ionicons28b5.eot	(from http://lifeinsys.com/item/malena/resources/fonts/ionicons/ionicons.min.css)
16:50:12	704573/704573	---M--	200	added ('OK')	image/jpeg	etag:%225c88ad4b-ac03d%22	http://lifeinsys.com/item/malena/resources/img/project-2.jpg	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/img/project-2.jpg	(from http://lifeinsys.com/item/malena/light/index.html)
16:50:18	333834/333834	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c88ad22-5180a%22	http://lifeinsys.com/item/malena/resources/fonts/ionicons/ionicons.svg?v=2.0.0	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/fonts/ionicons/ionicons28b5.svg	(from http://lifeinsys.com/item/malena/resources/fonts/ionicons/ionicons.min.css)
16:50:21	67904/67904	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225c88ad21-10940%22	http://lifeinsys.com/item/malena/resources/fonts/ionicons/ionicons.woff?v=2.0.0	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/fonts/ionicons/ionicons28b5.woff	(from http://lifeinsys.com/item/malena/resources/fonts/ionicons/ionicons.min.css)
16:50:29	188508/188508	---M--	200	added ('OK')	application/octet-stream	etag:%225c88ad20-2e05c%22	http://lifeinsys.com/item/malena/resources/fonts/ionicons/ionicons.ttf?v=2.0.0	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/fonts/ionicons/ionicons28b5.ttf	(from http://lifeinsys.com/item/malena/resources/fonts/ionicons/ionicons.min.css)
16:50:35	753007/753007	---M--	200	added ('OK')	image/jpeg	etag:%225c88ad4a-b7d6f%22	http://lifeinsys.com/item/malena/resources/img/project-3.jpg	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/img/project-3.jpg	(from http://lifeinsys.com/item/malena/light/index.html)
16:50:36	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225c88ad24-2876e%22	http://lifeinsys.com/item/malena/resources/fonts/fontawesome/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/fonts/fontawesome/fontawesome-webfont3e6e.eot	(from http://lifeinsys.com/item/malena/resources/fonts/fontawesome/font-awesome.min.css)
16:50:37	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225c88ad24-2876e%22	http://lifeinsys.com/item/malena/resources/fonts/fontawesome/fontawesome-webfont.eot?	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/fonts/fontawesome/fontawesome-webfontd41d.eot	(from http://lifeinsys.com/item/malena/resources/fonts/fontawesome/font-awesome.min.css)
16:50:45	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c88ad28-6c7db%22	http://lifeinsys.com/item/malena/resources/fonts/fontawesome/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/fonts/fontawesome/fontawesome-webfont3e6e.svg	(from http://lifeinsys.com/item/malena/resources/fonts/fontawesome/font-awesome.min.css)
16:50:45	77160/77160	---M--	200	added ('OK')	application/octet-stream	etag:%225c88ad25-12d68%22	http://lifeinsys.com/item/malena/resources/fonts/fontawesome/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/fonts/fontawesome/fontawesome-webfont3e6e.woff2	(from http://lifeinsys.com/item/malena/resources/fonts/fontawesome/font-awesome.min.css)
16:50:46	213/213	---M--	200	added ('OK')	image/png	etag:%225c88ad37-d5%22	http://lifeinsys.com/item/malena/resources/js/lib/vegas/overlays/02.png	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/js/lib/vegas/overlays/02.png	(from http://lifeinsys.com/item/malena/resources/js/lib/vegas/vegas.min.css)
16:50:47	5321/5321	---M--	200	added ('OK')	image/png	etag:%225c88ad3f-14c9%22	http://lifeinsys.com/item/malena/resources/img/logo-white.png	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/img/logo-white.png	(from http://lifeinsys.com/item/malena/light/item.html)
16:50:53	98024/98024	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225c88ad26-17ee8%22	http://lifeinsys.com/item/malena/resources/fonts/fontawesome/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/fonts/fontawesome/fontawesome-webfont3e6e.woff	(from http://lifeinsys.com/item/malena/resources/fonts/fontawesome/font-awesome.min.css)
16:50:59	165548/165548	---M--	200	added ('OK')	application/octet-stream	etag:%225c88ad27-286ac%22	http://lifeinsys.com/item/malena/resources/fonts/fontawesome/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/fonts/fontawesome/fontawesome-webfont3e6e.ttf	(from http://lifeinsys.com/item/malena/resources/fonts/fontawesome/font-awesome.min.css)
16:51:05	279654/279654	---M--	200	added ('OK')	image/jpeg	etag:%225c88ad47-44466%22	http://lifeinsys.com/item/malena/resources/img/item-pic.jpg	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/img/item-pic.jpg	(from http://lifeinsys.com/item/malena/light/item.html)
